"count","product_variation_value1_id","product_variation_value2_id","id"
8,1,2,839
20,3,4,840
97,5,6,841
45,7,8,842
84,9,10,843
54,11,12,844
50,13,14,845
21,15,16,846
71,17,18,847
50,19,20,848
68,21,22,849
84,23,24,850
51,25,26,851
18,27,28,852
49,29,30,853
83,31,32,854
80,33,34,855
69,35,36,856
95,37,38,857
77,39,40,858
16,41,42,859
2,43,44,860
58,45,46,861
20,47,48,862
78,49,50,863
55,51,52,864
53,53,54,865
35,55,56,866
48,57,58,867
29,59,60,868
25,61,62,869
23,63,64,870
76,65,66,871
27,67,68,872
86,69,70,873
58,71,72,874
30,73,74,875
20,75,76,876
60,77,78,877
91,79,80,878
82,81,82,879
82,83,84,880
80,85,86,881
56,87,88,882
75,89,90,883
80,91,92,884
28,93,94,885
62,95,96,886
59,97,98,887
81,99,100,888
12,101,102,889
92,103,104,890
34,105,106,891
24,107,108,892
56,109,110,893
63,111,112,894
7,113,114,895
16,115,116,896
26,117,118,897
83,119,120,898
72,121,122,899
49,123,124,900
46,125,126,901
27,127,128,902
36,129,130,903
76,131,132,904
75,133,134,905
67,135,136,906
14,137,138,907
80,139,140,908
76,141,142,909
10,143,144,910
18,145,146,911
82,147,148,912
59,149,150,913
48,151,152,914
5,153,154,915
87,155,156,916
88,157,158,917
69,159,160,918
38,161,162,919
17,163,164,920
96,165,166,921
99,167,168,922
43,169,170,923
68,171,172,924
34,173,174,925
93,175,176,926
72,177,178,927
61,179,180,928
67,181,182,929
90,183,184,930
95,185,186,931
34,187,188,932
93,189,190,933
87,191,192,934
27,193,194,935
40,195,196,936
11,197,198,937
42,199,200,938
40,201,202,939
8,203,204,940
11,205,206,941
82,207,208,942
93,209,210,943
46,211,212,944
98,213,214,945
41,215,216,946
14,217,218,947
57,219,220,948
74,221,222,949
52,223,224,950
71,225,226,951
31,227,228,952
16,229,230,953
17,231,232,954
1,233,234,955
57,235,236,956
51,237,238,957
57,239,240,958
13,241,242,959
89,243,244,960
88,245,246,961
63,247,248,962
15,249,250,963
78,251,252,964
82,253,254,965
2,255,256,966
59,257,258,967
32,259,260,968
67,261,262,969
1,263,264,970
64,265,266,971
95,267,268,972
71,269,270,973
16,271,272,974
71,273,274,975
41,275,276,976
31,277,278,977
14,279,280,978
32,281,282,979
76,283,284,980
78,285,286,981
56,287,288,982
66,289,290,983
32,291,292,984
52,293,294,985
43,295,296,986
26,297,298,987
81,299,300,988
75,301,302,989
6,303,304,990
57,305,306,991
37,307,308,992
4,309,310,993
10,311,312,994
29,313,314,995
68,315,316,996
95,317,318,997
96,319,320,998
41,321,322,999
75,323,324,1000
0,325,326,1001
29,327,328,1002
30,329,330,1003
