"id","product_id","variation_value_id"
3,1,1
4,1,11
5,2,5
6,2,12
7,3,8
8,3,15
9,4,5
10,4,10
11,5,1
12,5,11
13,6,4
14,6,13
15,7,7
16,7,14
17,8,7
18,8,15
19,9,3
20,9,11
21,10,5
22,10,14
23,11,7
24,11,13
25,12,4
26,12,14
27,13,3
28,13,14
29,14,2
30,14,15
31,15,3
32,15,14
33,16,6
34,16,12
35,17,1
36,17,15
37,18,5
38,18,9
39,19,4
40,19,13
41,20,6
42,20,13
43,21,8
44,21,9
45,22,7
46,22,12
47,23,3
48,23,12
49,24,2
50,24,15
51,25,8
52,25,15
53,26,7
54,26,10
55,27,2
56,27,14
57,28,3
58,28,10
59,29,7
60,29,11
61,30,5
62,30,11
63,31,2
64,31,12
65,32,3
66,32,10
67,33,2
68,33,15
69,34,4
70,34,12
71,35,3
72,35,9
73,36,5
74,36,12
75,37,2
76,37,14
77,38,7
78,38,14
79,39,8
80,39,11
81,40,2
82,40,14
83,41,4
84,41,10
85,42,8
86,42,15
87,43,8
88,43,12
89,44,3
90,44,11
91,45,6
92,45,13
93,46,1
94,46,12
95,47,6
96,47,11
97,48,3
98,48,14
99,49,4
100,49,12
101,50,1
102,50,13
103,51,1
104,51,13
105,52,3
106,52,15
107,53,2
108,53,9
109,54,4
110,54,12
111,55,8
112,55,14
113,56,2
114,56,15
115,57,5
116,57,14
117,58,6
118,58,13
119,59,8
120,59,13
121,60,2
122,60,13
123,61,5
124,61,14
125,62,1
126,62,12
127,102,6
128,102,11
129,63,3
130,63,14
131,64,2
132,64,10
133,65,1
134,65,15
135,66,5
136,66,11
137,67,3
138,67,14
139,68,2
140,68,11
141,69,5
142,69,9
143,70,6
144,70,11
145,71,4
146,71,15
147,72,3
148,72,14
149,73,1
150,73,14
151,74,7
152,74,15
153,75,1
154,75,12
155,76,5
156,76,10
157,77,8
158,77,13
159,78,6
160,78,11
161,79,3
162,79,10
163,80,4
164,80,15
165,81,8
166,81,11
167,82,4
168,82,15
169,83,5
170,83,13
171,84,6
172,84,14
173,85,8
174,85,14
175,86,3
176,86,10
177,87,1
178,87,9
179,88,7
180,88,9
181,89,8
182,89,9
183,90,5
184,90,9
185,91,3
186,91,11
187,92,4
188,92,15
189,93,4
190,93,13
191,94,6
192,94,11
193,95,2
194,95,14
195,96,6
196,96,12
197,97,7
198,97,11
199,98,2
200,98,14
201,99,3
202,99,10
203,100,5
204,100,15
205,101,6
206,101,15
207,103,7
208,103,11
209,104,5
210,104,15
211,105,7
212,105,11
213,106,4
214,106,15
215,107,1
216,107,9
217,108,7
218,108,12
219,109,3
220,109,9
221,110,8
222,110,10
223,111,5
224,111,15
225,112,8
226,112,15
227,113,2
228,113,13
229,114,5
230,114,10
231,115,8
232,115,15
233,116,3
234,116,11
235,117,7
236,117,13
237,118,6
238,118,14
239,119,8
240,119,14
241,120,8
242,120,13
243,121,8
244,121,9
245,122,3
246,122,13
247,123,1
248,123,15
249,124,7
250,124,11
251,125,2
252,125,15
253,126,4
254,126,11
255,127,4
256,127,10
257,128,2
258,128,9
259,129,6
260,129,15
261,130,5
262,130,12
263,131,2
264,131,12
265,132,5
266,132,12
267,133,7
268,133,9
269,134,7
270,134,13
271,135,3
272,135,13
273,136,1
274,136,15
275,137,7
276,137,12
277,138,2
278,138,13
279,139,5
280,139,15
281,140,8
282,140,10
283,141,7
284,141,10
285,142,1
286,142,9
287,143,8
288,143,12
289,144,8
290,144,10
291,145,2
292,145,9
293,146,4
294,146,14
295,147,3
296,147,11
297,148,1
298,148,15
299,149,1
300,149,11
301,150,5
302,150,11
303,151,7
304,151,15
305,152,8
306,152,13
307,153,2
308,153,15
309,154,4
310,154,12
311,155,6
312,155,13
313,156,6
314,156,10
315,157,7
316,157,14
317,158,4
318,158,9
319,159,4
320,159,9
321,160,5
322,160,12
323,161,8
324,161,15
325,162,2
326,162,11
327,163,3
328,163,11
329,164,3
330,164,13
331,165,8
332,165,11
333,166,2
334,166,11
335,167,1
336,167,11
337,168,4
338,168,15
339,169,5
340,169,11
341,170,2
342,170,15
343,171,4
344,171,15
345,172,6
346,172,11
347,173,4
348,173,10
349,174,1
350,174,14
351,175,6
352,175,9
353,176,7
354,176,14
355,177,4
356,177,13
357,178,2
358,178,11
359,179,8
360,179,15
361,180,8
362,180,11
363,181,4
364,181,13
365,182,4
366,182,13
367,183,3
368,183,14
369,184,8
370,184,13
371,185,6
372,185,15
373,186,1
374,186,13
375,187,2
376,187,15
377,188,4
378,188,12
379,189,1
380,189,12
381,190,8
382,190,12
383,191,3
384,191,10
385,192,1
386,192,9
387,193,5
388,193,15
389,194,4
390,194,11
391,195,3
392,195,13
393,196,2
394,196,13
395,197,4
396,197,14
397,198,3
398,198,9
399,199,6
400,199,13
